grad_out_shape,x_shape,w_shape,bias,stride,padding,dilation,transposed,output_padding,groups,output_mask,out_shape,shapes
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 768, 24, 32])","torch.Size([256, 768, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 768, 24, 32]), torch.Size([256, 768, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 768, 1, 1]), torch.Size([8, 768, 24, 32]), True], [[768, 8, 24, 32], [256, 8, 24, 32], [768, 256, 1, 1], False]]"
"torch.Size([8, 256, 12, 16])","torch.Size([8, 512, 12, 16])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 12, 16]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 12, 16]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 12, 16]), True], [[512, 8, 12, 16], [256, 8, 12, 16], [512, 256, 1, 1], False]]"
"torch.Size([8, 255, 12, 16])","torch.Size([8, 1024, 12, 16])","torch.Size([255, 1024, 1, 1])",[255],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, True]","(torch.Size([8, 1024, 12, 16]), torch.Size([255, 1024, 1, 1]), torch.Size([255]))","[[torch.Size([8, 255, 12, 16]), torch.Size([255, 1024, 1, 1]), torch.Size([8, 1024, 12, 16]), True], [[1024, 8, 12, 16], [255, 8, 12, 16], [1024, 255, 1, 1], False]]"
"torch.Size([8, 1024, 12, 16])","torch.Size([8, 512, 12, 16])","torch.Size([1024, 512, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 12, 16]), torch.Size([1024, 512, 3, 3]), None)","[[torch.Size([8, 1024, 12, 16]), torch.Size([1024, 512, 3, 3]), torch.Size([8, 512, 12, 16]), True], [[512, 8, 12, 16], [1024, 8, 12, 16], [512, 1024, 3, 3], False]]"
"torch.Size([8, 512, 12, 16])","torch.Size([8, 1024, 12, 16])","torch.Size([512, 1024, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 1024, 12, 16]), torch.Size([512, 1024, 1, 1]), None)","[[torch.Size([8, 512, 12, 16]), torch.Size([512, 1024, 1, 1]), torch.Size([8, 1024, 12, 16]), True], [[1024, 8, 12, 16], [512, 8, 12, 16], [1024, 512, 1, 1], False]]"
"torch.Size([8, 1024, 12, 16])","torch.Size([8, 512, 12, 16])","torch.Size([1024, 512, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 12, 16]), torch.Size([1024, 512, 3, 3]), None)","[[torch.Size([8, 1024, 12, 16]), torch.Size([1024, 512, 3, 3]), torch.Size([8, 512, 12, 16]), True], [[512, 8, 12, 16], [1024, 8, 12, 16], [512, 1024, 3, 3], False]]"
"torch.Size([8, 512, 12, 16])","torch.Size([8, 2048, 12, 16])","torch.Size([512, 2048, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 2048, 12, 16]), torch.Size([512, 2048, 1, 1]), None)","[[torch.Size([8, 512, 12, 16]), torch.Size([512, 2048, 1, 1]), torch.Size([8, 2048, 12, 16]), True], [[2048, 8, 12, 16], [512, 8, 12, 16], [2048, 512, 1, 1], False]]"
"torch.Size([8, 512, 12, 16])","torch.Size([8, 1024, 12, 16])","torch.Size([512, 1024, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 1024, 12, 16]), torch.Size([512, 1024, 1, 1]), None)","[[torch.Size([8, 512, 12, 16]), torch.Size([512, 1024, 1, 1]), torch.Size([8, 1024, 12, 16]), True], [[1024, 8, 12, 16], [512, 8, 12, 16], [1024, 512, 1, 1], False]]"
"torch.Size([8, 1024, 12, 16])","torch.Size([8, 512, 12, 16])","torch.Size([1024, 512, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 12, 16]), torch.Size([1024, 512, 3, 3]), None)","[[torch.Size([8, 1024, 12, 16]), torch.Size([1024, 512, 3, 3]), torch.Size([8, 512, 12, 16]), True], [[512, 8, 12, 16], [1024, 8, 12, 16], [512, 1024, 3, 3], False]]"
"torch.Size([8, 512, 12, 16])","torch.Size([8, 1024, 12, 16])","torch.Size([512, 1024, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 1024, 12, 16]), torch.Size([512, 1024, 1, 1]), None)","[[torch.Size([8, 512, 12, 16]), torch.Size([512, 1024, 1, 1]), torch.Size([8, 1024, 12, 16]), True], [[1024, 8, 12, 16], [512, 8, 12, 16], [1024, 512, 1, 1], False]]"
"torch.Size([8, 1024, 12, 16])","torch.Size([8, 512, 12, 16])","torch.Size([1024, 512, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 12, 16]), torch.Size([1024, 512, 3, 3]), None)","[[torch.Size([8, 1024, 12, 16]), torch.Size([1024, 512, 3, 3]), torch.Size([8, 512, 12, 16]), True], [[512, 8, 12, 16], [1024, 8, 12, 16], [512, 1024, 3, 3], False]]"
"torch.Size([8, 512, 12, 16])","torch.Size([8, 1024, 12, 16])","torch.Size([512, 1024, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 1024, 12, 16]), torch.Size([512, 1024, 1, 1]), None)","[[torch.Size([8, 512, 12, 16]), torch.Size([512, 1024, 1, 1]), torch.Size([8, 1024, 12, 16]), True], [[1024, 8, 12, 16], [512, 8, 12, 16], [1024, 512, 1, 1], False]]"
"torch.Size([8, 1024, 12, 16])","torch.Size([8, 512, 12, 16])","torch.Size([1024, 512, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 12, 16]), torch.Size([1024, 512, 3, 3]), None)","[[torch.Size([8, 1024, 12, 16]), torch.Size([1024, 512, 3, 3]), torch.Size([8, 512, 12, 16]), True], [[512, 8, 12, 16], [1024, 8, 12, 16], [512, 1024, 3, 3], False]]"
"torch.Size([8, 512, 12, 16])","torch.Size([8, 1024, 12, 16])","torch.Size([512, 1024, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 1024, 12, 16]), torch.Size([512, 1024, 1, 1]), None)","[[torch.Size([8, 512, 12, 16]), torch.Size([512, 1024, 1, 1]), torch.Size([8, 1024, 12, 16]), True], [[1024, 8, 12, 16], [512, 8, 12, 16], [1024, 512, 1, 1], False]]"
"torch.Size([8, 1024, 12, 16])","torch.Size([8, 512, 12, 16])","torch.Size([1024, 512, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 12, 16]), torch.Size([1024, 512, 3, 3]), None)","[[torch.Size([8, 1024, 12, 16]), torch.Size([1024, 512, 3, 3]), torch.Size([8, 512, 12, 16]), True], [[512, 8, 12, 16], [1024, 8, 12, 16], [512, 1024, 3, 3], False]]"
"torch.Size([8, 512, 12, 16])","torch.Size([8, 1024, 12, 16])","torch.Size([512, 1024, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 1024, 12, 16]), torch.Size([512, 1024, 1, 1]), None)","[[torch.Size([8, 512, 12, 16]), torch.Size([512, 1024, 1, 1]), torch.Size([8, 1024, 12, 16]), True], [[1024, 8, 12, 16], [512, 8, 12, 16], [1024, 512, 1, 1], False]]"
"torch.Size([8, 1024, 12, 16])","torch.Size([8, 512, 12, 16])","torch.Size([1024, 512, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 12, 16]), torch.Size([1024, 512, 3, 3]), None)","[[torch.Size([8, 1024, 12, 16]), torch.Size([1024, 512, 3, 3]), torch.Size([8, 512, 12, 16]), True], [[512, 8, 12, 16], [1024, 8, 12, 16], [512, 1024, 3, 3], False]]"
"torch.Size([8, 512, 12, 16])","torch.Size([8, 1024, 12, 16])","torch.Size([512, 1024, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 1024, 12, 16]), torch.Size([512, 1024, 1, 1]), None)","[[torch.Size([8, 512, 12, 16]), torch.Size([512, 1024, 1, 1]), torch.Size([8, 1024, 12, 16]), True], [[1024, 8, 12, 16], [512, 8, 12, 16], [1024, 512, 1, 1], False]]"
"torch.Size([8, 1024, 12, 16])","torch.Size([8, 512, 24, 32])","torch.Size([1024, 512, 3, 3])",[0],"[2, 2]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([1024, 512, 3, 3]), None)","[[torch.Size([8, 1024, 12, 16]), torch.Size([1024, 512, 3, 3]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [1024, 8, 12, 16], [512, 1024, 3, 3], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([256, 512, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 512, 24, 32]), torch.Size([256, 512, 1, 1]), None)","[[torch.Size([8, 256, 24, 32]), torch.Size([256, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [256, 8, 24, 32], [512, 256, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 48, 64])","torch.Size([512, 256, 3, 3])",[0],"[2, 2]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
