x_shape,w_shape,bias,stride,padding,dilation,transposed,out_shape
"torch.Size([1, 16, 54, 54])","torch.Size([64, 16, 3, 3])",torch.Size([64]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 54, 54])"
"torch.Size([1, 128, 54, 54])","torch.Size([32, 128, 1, 1])",torch.Size([32]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 32, 54, 54])"
"torch.Size([1, 32, 54, 54])","torch.Size([128, 32, 1, 1])",torch.Size([128]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 128, 54, 54])"
"torch.Size([1, 32, 54, 54])","torch.Size([128, 32, 3, 3])",torch.Size([128]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 54, 54])"
"torch.Size([1, 256, 27, 27])","torch.Size([32, 256, 1, 1])",torch.Size([32]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 32, 27, 27])"
"torch.Size([1, 32, 27, 27])","torch.Size([128, 32, 1, 1])",torch.Size([128]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 128, 27, 27])"
"torch.Size([1, 32, 27, 27])","torch.Size([128, 32, 3, 3])",torch.Size([128]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 27, 27])"
"torch.Size([1, 256, 27, 27])","torch.Size([48, 256, 1, 1])",torch.Size([48]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 48, 27, 27])"
"torch.Size([1, 48, 27, 27])","torch.Size([192, 48, 1, 1])",torch.Size([192]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 27, 27])"
"torch.Size([1, 48, 27, 27])","torch.Size([192, 48, 3, 3])",torch.Size([192]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 192, 27, 27])"
"torch.Size([1, 384, 27, 27])","torch.Size([48, 384, 1, 1])",torch.Size([48]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 48, 27, 27])"
"torch.Size([1, 48, 27, 27])","torch.Size([192, 48, 1, 1])",torch.Size([192]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 27, 27])"
"torch.Size([1, 48, 27, 27])","torch.Size([192, 48, 3, 3])",torch.Size([192]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 192, 27, 27])"
"torch.Size([1, 384, 27, 27])","torch.Size([64, 384, 1, 1])",torch.Size([64]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 64, 27, 27])"
"torch.Size([1, 64, 27, 27])","torch.Size([256, 64, 1, 1])",torch.Size([256]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 27, 27])"
"torch.Size([1, 64, 27, 27])","torch.Size([256, 64, 3, 3])",torch.Size([256]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 27, 27])"
"torch.Size([1, 512, 13, 13])","torch.Size([64, 512, 1, 1])",torch.Size([64]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 64, 13, 13])"
"torch.Size([1, 64, 13, 13])","torch.Size([256, 64, 1, 1])",torch.Size([256]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 13, 13])"
"torch.Size([1, 64, 13, 13])","torch.Size([256, 64, 3, 3])",torch.Size([256]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 13, 13])"
"torch.Size([1, 512, 13, 13])","torch.Size([1000, 512, 1, 1])",torch.Size([1000]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1000, 13, 13])"
"torch.Size([1, 3, 224, 224])","torch.Size([96, 3, 7, 7])",,"[2, 2]","[3, 3]","[1, 1]",False,"torch.Size([1, 96, 112, 112])"
"torch.Size([1, 96, 56, 56])","torch.Size([192, 96, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 56, 56])"
"torch.Size([1, 192, 56, 56])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 56, 56])"
"torch.Size([1, 144, 56, 56])","torch.Size([192, 144, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 56, 56])"
"torch.Size([1, 192, 56, 56])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 56, 56])"
"torch.Size([1, 192, 56, 56])","torch.Size([192, 192, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 56, 56])"
"torch.Size([1, 192, 56, 56])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 56, 56])"
"torch.Size([1, 240, 56, 56])","torch.Size([192, 240, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 56, 56])"
"torch.Size([1, 192, 56, 56])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 56, 56])"
"torch.Size([1, 288, 56, 56])","torch.Size([192, 288, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 56, 56])"
"torch.Size([1, 192, 56, 56])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 56, 56])"
"torch.Size([1, 336, 56, 56])","torch.Size([192, 336, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 56, 56])"
"torch.Size([1, 192, 56, 56])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 56, 56])"
"torch.Size([1, 384, 56, 56])","torch.Size([192, 384, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 56, 56])"
"torch.Size([1, 192, 28, 28])","torch.Size([192, 192, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 240, 28, 28])","torch.Size([192, 240, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 288, 28, 28])","torch.Size([192, 288, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 336, 28, 28])","torch.Size([192, 336, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 384, 28, 28])","torch.Size([192, 384, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 432, 28, 28])","torch.Size([192, 432, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 480, 28, 28])","torch.Size([192, 480, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 528, 28, 28])","torch.Size([192, 528, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 576, 28, 28])","torch.Size([192, 576, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 624, 28, 28])","torch.Size([192, 624, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 672, 28, 28])","torch.Size([192, 672, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 720, 28, 28])","torch.Size([192, 720, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 28, 28])"
"torch.Size([1, 192, 28, 28])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 28, 28])"
"torch.Size([1, 768, 28, 28])","torch.Size([384, 768, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 384, 28, 28])"
"torch.Size([1, 384, 14, 14])","torch.Size([192, 384, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 432, 14, 14])","torch.Size([192, 432, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 480, 14, 14])","torch.Size([192, 480, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 528, 14, 14])","torch.Size([192, 528, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 576, 14, 14])","torch.Size([192, 576, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 624, 14, 14])","torch.Size([192, 624, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 672, 14, 14])","torch.Size([192, 672, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 720, 14, 14])","torch.Size([192, 720, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 768, 14, 14])","torch.Size([192, 768, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 816, 14, 14])","torch.Size([192, 816, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 864, 14, 14])","torch.Size([192, 864, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 912, 14, 14])","torch.Size([192, 912, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 960, 14, 14])","torch.Size([192, 960, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1008, 14, 14])","torch.Size([192, 1008, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1056, 14, 14])","torch.Size([192, 1056, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1104, 14, 14])","torch.Size([192, 1104, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1152, 14, 14])","torch.Size([192, 1152, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1200, 14, 14])","torch.Size([192, 1200, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1248, 14, 14])","torch.Size([192, 1248, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1296, 14, 14])","torch.Size([192, 1296, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1344, 14, 14])","torch.Size([192, 1344, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1392, 14, 14])","torch.Size([192, 1392, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1440, 14, 14])","torch.Size([192, 1440, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1488, 14, 14])","torch.Size([192, 1488, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1536, 14, 14])","torch.Size([192, 1536, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1584, 14, 14])","torch.Size([192, 1584, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1632, 14, 14])","torch.Size([192, 1632, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1680, 14, 14])","torch.Size([192, 1680, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1728, 14, 14])","torch.Size([192, 1728, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1776, 14, 14])","torch.Size([192, 1776, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1824, 14, 14])","torch.Size([192, 1824, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1872, 14, 14])","torch.Size([192, 1872, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1920, 14, 14])","torch.Size([192, 1920, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 1968, 14, 14])","torch.Size([192, 1968, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 2016, 14, 14])","torch.Size([192, 2016, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 2064, 14, 14])","torch.Size([192, 2064, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 14, 14])"
"torch.Size([1, 192, 14, 14])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 14, 14])"
"torch.Size([1, 2112, 14, 14])","torch.Size([1056, 2112, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1056, 14, 14])"
"torch.Size([1, 1056, 7, 7])","torch.Size([192, 1056, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1104, 7, 7])","torch.Size([192, 1104, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1152, 7, 7])","torch.Size([192, 1152, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1200, 7, 7])","torch.Size([192, 1200, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1248, 7, 7])","torch.Size([192, 1248, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1296, 7, 7])","torch.Size([192, 1296, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1344, 7, 7])","torch.Size([192, 1344, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1392, 7, 7])","torch.Size([192, 1392, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1440, 7, 7])","torch.Size([192, 1440, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1488, 7, 7])","torch.Size([192, 1488, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1536, 7, 7])","torch.Size([192, 1536, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1584, 7, 7])","torch.Size([192, 1584, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1632, 7, 7])","torch.Size([192, 1632, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1680, 7, 7])","torch.Size([192, 1680, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1728, 7, 7])","torch.Size([192, 1728, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1776, 7, 7])","torch.Size([192, 1776, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1824, 7, 7])","torch.Size([192, 1824, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
"torch.Size([1, 192, 7, 7])","torch.Size([48, 192, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 48, 7, 7])"
"torch.Size([1, 1872, 7, 7])","torch.Size([192, 1872, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 192, 7, 7])"
